Filename,Genotype,MAPPER Trichome,FIJI Trichome
'1346 x 1194 Sample 1.tif',1,168,238
'1346 x 1194 Sample 10.tif',1,154,234
'1346 x 1194 Sample 11.tif',1,163,242
'1346 x 1194 Sample 12.tif',1,151,211
'1346 x 1194 Sample 13.tif',1,146,223
'1346 x 1194 Sample 14.tif',1,160,207
'1346 x 1194 Sample 15.tif',1,161,239
'1346 x 1194 Sample 16.tif',1,162,197
'1346 x 1194 Sample 17.tif',1,147,217
'1346 x 1194 Sample 2.tif',1,143,204
'1346 x 1194 Sample 3.tif',1,156,156
'1346 x 1194 Sample 4.tif',1,156,238
'1346 x 1194 Sample 5.tif',1,148,182
'1346 x 1194 Sample 6.tif',1,157,176
'1346 x 1194 Sample 7.tif',1,144,213
'1346 x 1194 Sample 8.tif',1,148,239
'1346 x 1194 Sample 9.tif',1,151,234
'1346 x 2293 Disc1_4x.tif',2,151,188
'1346 x 2293 Disc2_4x.tif',2,167,214
'1346 x 2293 Disc3_4x.tif',2,153,144
'1346 x 2293 Disc4_4x.tif',2,164,181
'1346 x 2293 Disc5_4x.tif',2,156,187
'1346 x 2293 Disc6_4x.tif',2,141,149
'1346 x 2293 Disc7_4x.tif',2,162,214
'1346 x 2293 Disc8_4x.tif',2,171,224
'1346 x 2293 Disc9_4x.tif',2,179,198
'1346 x 2293 Sample 1.tif',2,165,189
'1346 x 2293 Sample 10.tif',2,183,236
'1346 x 2293 Sample 12.tif',2,160,196
'1346 x 2293 Sample 13.tif',2,170,207
'1346 x 2293 Sample 14.tif',2,152,200
'1346 x 2293 Sample 15.tif',2,170,226
'1346 x 2293 Sample 16.tif',2,155,228
'1346 x 2293 Sample 17.tif',2,160,161
'1346 x 2293 Sample 2.tif',2,155,177
'1346 x 2293 Sample 3.tif',2,164,192
'1346 x 2293 Sample 4.tif',2,189,243
'1346 x 2293 Sample 5.tif',2,168,188
'1346 x 2293 Sample 6.tif',2,166,177
'1346 x 2293 Sample 7.tif',2,186,223
'1346 x 2293 Sample 8.tif',2,162,210
'1346 x 2293 Sample 9.tif',2,171,218
'2021_10_22 1346 x 2294 Sample 1.tif',3,165,237
'2021_10_22 1346 x 2294 Sample 2.tif',3,132,243
'2021_10_22 1346 x 2294 Sample 3.tif',3,158,259
'2021_10_22 1346 x 2294 Sample 4.tif',3,137,235
'2021_10_22 1346 x 2294 Sample 5.tif',3,187,252
